[13056.815998] 560:17f
[13056.816003] 448:22f
[13056.816007] 575:17f
[13056.816012] 445:22f
[13056.816017] 510:17f
[13056.816021] 455:22f
[13056.816026] 552:17f
[13056.816030] 437:22f
[13056.816035] 519:17f
[13056.816040] 448:22f
[13056.816044] 526:17f
[13056.816049] 469:22f
[13056.816053] 491:17f
[13056.816058] 484:22f
[13056.816063] 516:17f
[13056.816067] 463:22f
[13056.816072] 502:17f
[13056.816077] 456:22f
[13056.816081] 515:17f
[13056.816086] 484:22f
[13056.816091] 501:17f
[13056.816095] 515:22f
[13056.816100] 575:17f
[13056.816104] 393:22f
[13056.816109] 571:17f
[13056.816114] 393:22f
[13056.816118] 581:17f
[13056.816123] 382:22f
[13056.816128] 587:17f
[13056.816132] 387:22f
[13056.816137] 583:17f
[13056.816142] 500:22f
[13056.816146] 469:17f
[13056.816151] 499:22f
[13056.816155] 530:17f
[13056.816160] 453:22f
[13056.816165] 513:17f
[13056.816170] 503:22f
[13056.816174] 469:17f
[13056.816179] 540:22f
[13056.816183] 427:17f
[13056.816188] 551:22f
[13056.816193] 442:17f
[13056.816197] 523:22f
[13056.816202] 439:17f
[13056.816207] 559:22f
[13056.816211] 444:17f
[13056.816216] 521:22f
[13056.816221] 441:17f
[13056.816225] 565:22f
[13056.816230] 401:17f
[13056.816235] 587:22f
[13056.816239] 366:17f
[13056.816244] 600:22f
[13056.816249] 364:17f
[13056.816253] 606:22f
[13056.816258] 361:17f
[13056.816263] 601:22f
[13056.816267] 387:17f
[13056.816272] 614:22f
[13056.816277] 385:17f
[13056.816281] 588:22f
[13056.816286] 385:17f
[13056.816291] 596:22f
[13056.816295] 386:17f
[13056.816300] 581:22f
[13056.816305] 391:17f
[13056.816309] 599:22f
[13056.816314] 368:17f
[13056.816319] 615:22f
[13056.816323] 427:17f
[13056.816328] 598:22f
[13056.816333] 366:17f
[13056.816337] 616:22f
[13056.816342] 371:17f
[13056.816347] 622:22f
[13056.816351] 363:17f
[13056.816356] 647:22f
[13056.816360] 326:17f
[13056.816365] 697:22f
[13056.816370] 275:17f
[13056.816375] 734:22f
[13056.816379] 234:17f
[13056.816384] 778:22f
[13056.816389] 192:17f
[13056.816393] 827:22f
[13056.816398] 129:17f
[13056.816402] 879:22f
[13056.816407] 123:17f
[13056.816412] 891:22f
[13056.816416] 108:17f
[13056.816421] 921:22f
[13056.816426] 60:17f
[13056.816430] 950:22f
[13056.816435] 18:17f
[13056.816440] 973:17f
[13056.816444] 18:22f
[13056.816449] 966:17f
[13056.816454] 22:22f
[13056.816458] 949:17f
[13056.816463] 47:22f
[13056.816468] 937:17f
[13056.816472] 61:22f
[13056.816477] 905:17f
[13056.816481] 84:22f
[13056.816486] 882:17f
[13056.816491] 111:22f
[13056.816495] 852:17f
[13056.816500] 139:22f
[13056.816505] 865:17f
[13056.816509] 126:22f
[13056.816514] 868:17f
[13056.816519] 108:22f
[13056.816523] 856:17f
[13056.816528] 134:22f
[13056.816533] 832:17f
[13056.816537] 159:22f
[13056.816542] 830:17f
[13056.816547] 158:22f
[13056.816551] 810:17f
[13056.816556] 477:22f
[13056.816561] 491:17f
[13056.816565] 517:22f
[13056.816570] 453:17f
[13056.816575] 554:22f
[13056.816579] 420:17f
[13056.816584] 584:22f
[13056.816589] 462:17f
[13056.816593] 545:22f
[13056.816598] 497:17f
[13056.816602] 515:22f
[13056.816607] 455:17f
[13056.816612] 549:22f
[13056.816617] 557:17f
[13056.816621] 472:22f
[13056.816626] 503:17f
[13056.816631] 504:22f
[13056.816635] 463:17f
[13056.816640] 557:22f
[13056.816645] 434:17f
[13056.816649] 570:22f
[13056.816654] 396:17f
[13056.816658] 574:22f
[13056.816663] 492:17f
[13056.816668] 484:22f
[13056.816673] 530:17f
[13056.816677] 452:22f
[13056.816682] 517:17f
[13056.816687] 500:22f
[13056.816691] 473:17f
[13056.816696] 501:22f
[13056.816700] 474:17f
[13056.816705] 515:22f
[13056.816710] 463:17f
[13056.816714] 529:22f
[13056.816719] 478:17f
[13056.816724] 736:22f
[13056.816728] 255:17f
[13056.816733] 753:22f
[13056.816738] 213:17f
[13056.816742] 811:22f
[13056.816747] 176:17f
[13056.816752] 883:22f
[13056.816756] 106:17f
[13056.816761] 900:22f
[13056.816766] 147:17f
[13056.816770] 872:22f
[13056.816775] 97:17f
[13056.816780] 911:22f
[13056.816784] 63:17f
[13056.816789] 872:18f
[13056.816794] 1515:22f
[13056.816798] 108:17f
[13056.816803] 864:22f
[13056.816808] 103:17f
[13056.816812] 3096:27f
[13056.816817] 999:27f
[13056.816822] 955:27f
[13056.816826] 958:27f
[13056.816831] 1170:27f
[13056.816836] 962:27f
[13056.816840] 961:27f
[13056.816845] 1129:27f
[13056.816850] 978:27f
[13056.816854] 968:27f
[13056.816859] 945:27f
[13056.816864] 1052:27f
[13056.816869] 965:27f
[13056.816873] 945:27f
[13056.816878] 1161:27f
[13056.816882] 956:27f
[13056.816887] 1031:27f
[13056.816892] 962:27f
[13056.816897] 947:27f
[13056.816901] 980:27f
[13056.816906] 962:27f
[13056.816911] 950:27f
[13056.816915] 968:27f
[13056.816920] 946:27f
[13056.816925] 1020:27f
[13056.816929] 1121:27f
[13056.816934] 1004:27f
[13056.816939] 965:22f
[13056.816943] 951:27f
[13056.816948] 970:27f
[13056.816953] 945:27f
[13056.816957] 1021:27f
[13056.816962] 1133:27f
[13056.816967] 964:27f
[13056.816971] 970:27f
[13056.816976] 1122:27f
[13056.816981] 1071:27f
[13056.816986] 1133:27f
[13056.816990] 972:27f
[13056.816995] 1255:27f
[13056.817000] 971:27f
[13056.817004] 958:27f
[13056.817009] 966:27f
[13056.817014] 964:27f
[13056.817018] 1166:27f
[13056.817023] 964:27f
[13056.817028] 981:27f
[13056.817032] 946:27f
[13056.817037] 992:27f
[13056.817042] 1042:27f
[13056.817046] 983:27f
[13056.817051] 980:27f
[13056.817056] 968:27f
[13056.817060] 965:27f
[13056.817065] 965:27f
[13056.817070] 21:17f
[13056.817074] 951:27f
[13056.817079] 966:27f
[13056.817084] 968:27f
[13056.817088] 967:27f
[13056.817093] 1257:27f
[13056.817098] 969:27f
[13056.817102] 1145:27f
[13056.817107] 979:27f
[13056.817112] 1109:27f
[13056.817117] 969:27f
[13056.817121] 964:27f
[13056.817126] 978:27f
[13056.817130] 964:27f
[13056.817135] 1416:27f
[13056.817140] 946:27f
[13056.817145] 993:27f
[13056.817149] 969:27f
[13056.817154] 971:27f
[13056.817159] 941:22f
