[21103.499908] 951:17f
[21103.499913] 459:22f
[21103.499918] 510:17f
[21103.499923] 818:22f
[21103.499927] 235:17f
[21103.499932] 744:22f
[21103.499937] 281:17f
[21103.499942] 813:22f
[21103.499946] 195:17f
[21103.499951] 972:27f
[21103.499955] 23:17f
[21103.499960] 969:22f
[21103.499965] 54:17f
[21103.499969] 1002:27f
[21103.499974] 995:17f
[21103.499979] 781:22f
[21103.499983] 189:17f
[21103.499988] 1023:27f
[21103.499993] 953:17f
[21103.499998] 486:22f
[21103.500002] 543:17f
[21103.500007] 434:22f
[21103.500012] 615:17f
[21103.500017] 976:17f
[21103.500021] 531:22f
[21103.500026] 449:17f
[21103.500031] 566:22f
[21103.500035] 405:17f
[21103.500040] 958:22f
[21103.500045] 17:17f
[21103.500049] 978:17f
[21103.500054] 104:22f
[21103.500059] 893:17f
[21103.500064] 927:22f
[21103.500068] 146:17f
[21103.500073] 969:17f
[21103.500077] 707:22f
[21103.500082] 288:17f
[21103.500087] 241:18f
[21103.500092] 1367:22f
[21103.500096] 258:17f
[21103.500101] 110:27f
[21103.500106] 1194:27f
[21103.500110] 972:27f
[21103.500115] 994:27f
[21103.500120] 965:27f
[21103.500125] 970:27f
[21103.500129] 969:27f
[21103.500134] 971:27f
[21103.500139] 960:27f
[21103.500143] 998:27f
[21103.500148] 945:22f
[21103.500153] 220:17f
[21103.500157] 1014:27f
[21103.500162] 7:22f
[21103.500167] 954:27f
[21103.500171] 992:22f
[21103.500176] 7:27f
[21103.500181] 960:27f
[21103.500186] 975:27f
[21103.500190] 982:22f
[21103.500195] 5:27f
[21103.500200] 1013:27f
[21103.500204] 932:17f
[21103.500209] 64:22f
[21103.500214] 900:17f
[21103.500218] 67:22f
[21103.500223] 963:27f
[21103.500228] 1033:27f
[21103.500232] 964:27f
[21103.500237] 941:22f
[21103.500242] 716:17f
[21103.500246] 320:22f
[21103.500251] 919:17f
[21103.500256] 200:22f
[21103.500261] 972:22f
[21103.500265] 145:17f
[21103.500270] 1041:27f
[21103.500275] 949:22f
[21103.500279] 395:17f
[21103.500284] 689:22f
[21103.500289] 1015:27f
[21103.500293] 958:27f
[21103.500298] 936:22f
[21103.500303] 312:17f
[21103.500307] 864:22f
[21103.500312] 959:27f
[21103.500317] 972:27f
[21103.500322] 1004:17f
[21103.500326] 28:22f
[21103.500331] 959:17f
[21103.500336] 35:27f
[21103.500340] 928:22f
[21103.500345] 1000:22f
[21103.500350] 13:17f
[21103.500354] 1185:22f
[21103.500359] 744:17f
[21103.500364] 417:22f
[21103.500368] 932:27f
[21103.500373] 1066:22f
[21103.500378] 461:17f
[21103.500382] 589:22f
[21103.500387] 962:22f
[21103.500392] 262:17f
[21103.500396] 779:22f
[21103.500401] 930:27f
[21103.500406] 953:27f
[21103.500411] 964:22f
[21103.500415] 6:27f
[21103.500420] 965:27f
[21103.500424] 974:27f
[21103.500429] 962:27f
[21103.500434] 2:22f
[21103.500438] 918:17f
[21103.500443] 227:22f
[21103.500448] 945:27f
[21103.500452] 1006:27f
[21103.500457] 964:27f
[21103.500462] 995:27f
[21103.500466] 967:22f
[21103.500471] 684:17f
[21103.500476] 311:22f
[21103.500480] 955:27f
[21103.500485] 968:27f
[21103.500490] 968:27f
[21103.500494] 914:22f
[21103.500499] 418:17f
[21103.500504] 831:22f
[21103.500508] 767:17f
[21103.500513] 215:22f
[21103.500518] 958:27f
[21103.500522] 1098:27f
[21103.500527] 820:22f
[21103.500532] 532:17f
[21103.500537] 565:22f
[21103.500541] 947:27f
[21103.500546] 947:22f
[21103.500551] 761:17f
[21103.500555] 191:22f
[21103.500560] 760:17f
[21103.500565] 427:22f
[21103.500569] 932:27f
[21103.500574] 992:27f
[21103.500579] 961:27f
[21103.500583] 1017:22f
[21103.500588] 375:17f
[21103.500593] 938:22f
[21103.500597] 857:27f
[21103.500602] 944:17f
[21103.500607] 229:22f
[21103.500611] 771:17f
[21103.500616] 266:22f
[21103.500621] 757:17f
[21103.500625] 227:22f
[21103.500630] 966:22f
[21103.500634] 945:17f
[21103.500639] 223:22f
[21103.500644] 887:17f
[21103.500649] 259:22f
[21103.500653] 917:27f
[21103.500658] 992:27f
[21103.500663] 950:17f
[21103.500667] 22:22f
[21103.500672] 969:22f
[21103.500676] 45:27f
[21103.500681] 913:22f
[21103.500686] 504:17f
[21103.500690] 616:22f
[21103.500695] 973:27f
[21103.500700] 978:27f
[21103.500704] 905:22f
[21103.500709] 188:17f
[21103.500714] 898:22f
[21103.500718] 498:17f
[21103.500723] 569:22f
