[18679.598122] 1180:17f
[18679.598127] 1716:17f
[18679.598132] 1125:17f
[18679.598136] 1149:17f
[18679.598141] 1093:17f
[18679.598146] 1118:17f
[18679.598150] 1561:17f
[18679.598155] 1130:17f
[18679.598160] 1332:17f
[18679.598164] 2045:17f
[18679.598169] 1291:17f
[18679.598174] 1211:17f
[18679.598178] 1164:17f
[18679.598183] 1674:17f
[18679.598188] 1387:17f
[18679.598192] 1328:17f
[18679.598197] 2050:17f
[18679.598201] 1143:17f
[18679.598206] 2139:17f
[18679.598211] 1820:17f
[18679.598216] 1660:17f
[18679.598220] 967:17f
[18679.598225] 1533:17f
[18679.598229] 1048:17f
[18679.598234] 1711:17f
[18679.598239] 1067:17f
[18679.598244] 2035:17f
[18679.598248] 2186:17f
[18679.598253] 1753:17f
[18679.598258] 1665:17f
[18679.598262] 1909:17f
[18679.598267] 2181:17f
[18679.598272] 1144:17f
[18679.598276] 2125:17f
[18679.598281] 1310:17f
[18679.598286] 1009:17f
[18679.598290] 1530:17f
[18679.598295] 1972:17f
[18679.598300] 1513:17f
[18679.598305] 1091:17f
[18679.598309] 2110:17f
[18679.598314] 1049:17f
[18679.598319] 1574:17f
[18679.598323] 2003:17f
[18679.598328] 2093:17f
[18679.598333] 2004:17f
[18679.598338] 1790:17f
[18679.598342] 1450:17f
[18679.598347] 1950:17f
[18679.598352] 1929:17f
[18679.598357] 979:17f
[18679.598361] 2019:17f
[18679.598366] 1389:17f
[18679.598371] 1410:17f
[18679.598375] 1311:17f
[18679.598380] 1891:17f
[18679.598385] 1850:17f
[18679.598389] 745:18f
[18679.598394] 2589:17f
[18679.598399] 1223:17f
[18679.598403] 1210:17f
[18679.598408] 1145:17f
[18679.598413] 1199:17f
[18679.598418] 1079:17f
[18679.598422] 1135:17f
[18679.598427] 1090:17f
[18679.598432] 1031:17f
[18679.598436] 1123:17f
[18679.598441] 970:17f
[18679.598446] 1075:17f
[18679.598450] 1022:17f
[18679.598455] 1115:17f
[18679.598460] 1025:17f
[18679.598465] 1206:17f
[18679.598469] 1212:17f
[18679.598474] 952:17f
[18679.598479] 1127:17f
[18679.598484] 1040:17f
[18679.598488] 1060:17f
[18679.598493] 968:17f
[18679.598498] 1069:17f
[18679.598502] 971:17f
[18679.598507] 1196:17f
[18679.598512] 1159:17f
[18679.598516] 1174:17f
[18679.598521] 1150:17f
[18679.598526] 990:17f
[18679.598531] 1059:17f
[18679.598535] 1197:17f
[18679.598540] 1037:17f
[18679.598545] 1089:17f
[18679.598549] 1133:17f
[18679.598554] 967:17f
[18679.598559] 1131:17f
[18679.598564] 1098:17f
[18679.598568] 977:17f
[18679.598573] 1169:17f
[18679.598578] 1220:17f
[18679.598583] 1028:17f
[18679.598587] 961:17f
[18679.598592] 1219:17f
[18679.598597] 1190:17f
[18679.598601] 968:17f
[18679.598606] 1193:17f
[18679.598611] 1001:17f
[18679.598616] 996:17f
[18679.598620] 1191:17f
[18679.598625] 953:17f
[18679.598630] 1186:17f
[18679.598635] 1213:17f
[18679.598639] 1144:17f
[18679.598644] 964:17f
[18679.598649] 1061:17f
[18679.598653] 1087:17f
[18679.598658] 1082:17f
[18679.598663] 994:17f
[18679.598668] 1306:17f
[18679.598672] 1037:17f
[18679.598677] 972:17f
[18679.598682] 1074:17f
[18679.598687] 1062:17f
[18679.598691] 1126:17f
[18679.598696] 1170:17f
[18679.598701] 1046:17f
[18679.598705] 1236:17f
[18679.598710] 1221:17f
[18679.598715] 1187:17f
[18679.598720] 1058:17f
[18679.598724] 1071:17f
[18679.598729] 1085:17f
[18679.598734] 1175:17f
[18679.598739] 1209:17f
[18679.598743] 973:17f
[18679.598748] 1216:17f
[18679.598753] 1025:17f
[18679.598757] 1157:17f
[18679.598762] 1009:17f
[18679.598767] 1092:17f
[18679.598772] 977:17f
[18679.598776] 1223:17f
[18679.598781] 987:17f
[18679.598786] 970:17f
[18679.598790] 1242:17f
[18679.598795] 1225:17f
[18679.598800] 1029:17f
[18679.598805] 1111:17f
[18679.598809] 960:17f
[18679.598814] 909:18f
[18679.598819] 1441:17f
[18679.598824] 967:17f
[18679.598828] 4400:17f
[18679.598833] 1083:17f
[18679.598838] 5085:17f
[18679.598842] 1609:17f
[18679.598847] 5858:17f
[18679.598852] 5660:17f
[18679.598856] 1978:17f
[18679.598861] 4008:17f
[18679.598866] 3493:17f
[18679.598871] 4581:17f
[18679.598875] 3996:17f
[18679.598880] 3754:17f
[18679.598885] 4441:17f
[18679.598890] 3126:17f
[18679.598894] 3775:17f
[18679.598899] 5448:17f
[18679.598904] 2769:17f
[18679.598908] 6047:17f
[18679.598913] 2036:17f
[18679.598918] 5470:17f
[18679.598923] 1985:17f
[18679.598927] 3408:17f
[18679.598932] 1912:17f
[18679.598937] 2068:17f
[18679.598941] 4192:17f
[18679.598946] 2156:17f
[18679.598951] 1460:17f
[18679.598955] 1781:18f
[18679.598960] 4268:17f
[18679.598965] 948:17f
[18679.598970] 1091:17f
[18679.598974] 979:17f
[18679.598979] 998:17f
[18679.598984] 1008:17f
[18679.598989] 1166:17f
[18679.598993] 967:17f
[18679.598998] 1066:17f
[18679.599003] 972:17f
[18679.599007] 958:17f
[18679.599012] 1066:17f
[18679.599017] 951:17f
[18679.599022] 986:17f
[18679.599026] 1135:17f
[18679.599031] 966:17f
[18679.599036] 968:17f
[18679.599041] 967:17f
[18679.599045] 1036:17f
[18679.599050] 970:17f
[18679.599055] 975:17f
[18679.599059] 1043:17f
[18679.599064] 969:17f
[18679.599069] 1050:17f
