[11657.707104] 497:22f
[11657.707109] 486:17f
[11657.707113] 500:22f
[11657.707118] 475:17f
[11657.707123] 513:22f
[11657.707127] 560:17f
[11657.707132] 421:22f
[11657.707137] 578:17f
[11657.707141] 393:22f
[11657.707146] 574:17f
[11657.707151] 459:22f
[11657.707155] 609:17f
[11657.707160] 357:22f
[11657.707165] 688:17f
[11657.707170] 292:22f
[11657.707174] 606:18f
[11657.707179] 1455:17f
[11657.707184] 26:27f
[11657.707188] 390:22f
[11657.707193] 617:27f
[11657.707198] 945:27f
[11657.707202] 970:27f
[11657.707207] 1004:27f
[11657.707212] 1040:27f
[11657.707217] 1008:22f
[11657.707221] 969:22f
[11657.707226] 993:27f
[11657.707231] 962:27f
[11657.707236] 1215:27f
[11657.707240] 989:27f
[11657.707245] 965:27f
[11657.707250] 1014:27f
[11657.707254] 933:17f
[11657.707259] 110:22f
[11657.707264] 936:27f
[11657.707269] 1008:27f
[11657.707273] 964:27f
[11657.707278] 965:27f
[11657.707283] 1035:27f
[11657.707287] 952:27f
[11657.707292] 970:27f
[11657.707297] 1308:27f
[11657.707301] 922:22f
[11657.707306] 838:17f
[11657.707311] 1003:27f
[11657.707316] 974:27f
[11657.707320] 963:27f
[11657.707325] 955:27f
[11657.707330] 978:22f
[11657.707335] 15:27f
[11657.707339] 949:27f
[11657.707344] 962:27f
[11657.707349] 964:27f
[11657.707353] 945:27f
[11657.707358] 974:27f
[11657.707363] 963:27f
[11657.707367] 978:27f
[11657.707372] 978:27f
[11657.707377] 1139:22f
[11657.707381] 1052:27f
[11657.707386] 952:27f
[11657.707391] 1005:27f
[11657.707396] 1110:27f
[11657.707401] 1016:27f
[11657.707405] 971:27f
[11657.707410] 1010:22f
[11657.707415] 2:27f
[11657.707420] 957:17f
[11657.707424] 880:22f
[11657.707429] 929:27f
[11657.707434] 957:27f
[11657.707439] 1185:27f
[11657.707443] 946:27f
[11657.707448] 984:27f
[11657.707453] 954:27f
[11657.707457] 1006:27f
[11657.707462] 1239:27f
[11657.707467] 968:22f
[11657.707472] 5:27f
[11657.707476] 1073:27f
[11657.707481] 951:22f
[11657.707486] 989:27f
[11657.707490] 1022:27f
[11657.707495] 966:27f
[11657.707500] 949:27f
[11657.707505] 990:27f
[11657.707510] 946:27f
[11657.707514] 992:27f
[11657.707519] 954:22f
[11657.707523] 1:27f
[11657.707528] 1386:27f
[11657.707533] 989:27f
[11657.707538] 1083:22f
[11657.707543] 444:17f
[11657.707547] 1023:27f
[11657.707552] 959:27f
[11657.707557] 988:27f
[11657.707561] 1149:27f
[11657.707566] 1049:27f
[11657.707571] 980:22f
[11657.707576] 988:27f
[11657.707580] 1018:27f
[11657.707585] 997:27f
[11657.707590] 942:22f
[11657.707595] 285:17f
[11657.707599] 1004:27f
[11657.707604] 1025:22f
[11657.707609] 541:17f
[11657.707614] 840:22f
[11657.707619] 1076:27f
[11657.707623] 977:27f
[11657.707628] 973:27f
[11657.707633] 1315:27f
[11657.707637] 969:27f
[11657.707642] 1080:27f
[11657.707647] 961:27f
[11657.707651] 994:27f
[11657.707656] 1013:17f
[11657.707661] 30:22f
[11657.707666] 1175:27f
[11657.707670] 965:27f
[11657.707675] 984:27f
[11657.707680] 985:27f
[11657.707685] 973:27f
[11657.707689] 591:18f
[11657.707694] 1528:27f
[11657.707699] 847:22f
[11657.707703] 967:22f
[11657.707708] 972:22f
[11657.707713] 190:17f
[11657.707718] 773:22f
[11657.707722] 196:17f
[11657.707727] 799:22f
[11657.707732] 146:17f
[11657.707737] 813:22f
[11657.707741] 180:17f
[11657.707746] 819:22f
[11657.707751] 138:17f
[11657.707755] 822:22f
[11657.707760] 145:17f
[11657.707765] 816:22f
[11657.707770] 160:17f
[11657.707774] 811:22f
[11657.707779] 154:17f
[11657.707784] 850:22f
[11657.707788] 114:17f
[11657.707793] 934:22f
[11657.707798] 21:17f
[11657.707802] 954:22f
[11657.707807] 12:17f
[11657.707812] 947:17f
[11657.707816] 23:22f
[11657.707821] 993:17f
[11657.707826] 36:22f
[11657.707830] 907:17f
[11657.707835] 55:22f
[11657.707840] 939:17f
[11657.707844] 76:22f
[11657.707849] 870:17f
[11657.707854] 95:22f
[11657.707858] 875:17f
[11657.707863] 115:22f
[11657.707868] 851:17f
[11657.707873] 114:22f
[11657.707877] 867:17f
[11657.707882] 110:22f
[11657.707887] 878:17f
[11657.707891] 90:22f
[11657.707896] 874:17f
[11657.707901] 83:22f
[11657.707905] 875:17f
[11657.707910] 102:22f
[11657.707915] 895:17f
[11657.707919] 61:22f
[11657.707924] 890:17f
[11657.707929] 105:22f
[11657.707933] 875:17f
[11657.707938] 89:22f
[11657.707943] 863:17f
[11657.707948] 101:22f
[11657.707952] 864:17f
[11657.707957] 104:22f
[11657.707962] 866:17f
[11657.707966] 103:22f
[11657.707971] 869:17f
[11657.707976] 100:22f
[11657.707980] 973:17f
[11657.707985] 10:22f
[11657.707990] 957:17f
[11657.707995] 16:22f
[11657.707999] 930:17f
[11657.708004] 30:22f
[11657.708009] 935:17f
[11657.708013] 44:22f
[11657.708018] 915:17f
[11657.708023] 42:22f
[11657.708027] 965:17f
[11657.708032] 2:22f
[11657.708037] 963:17f
[11657.708041] 1:22f
[11657.708046] 945:17f
[11657.708051] 29:22f
[11657.708055] 973:22f
[11657.708060] 12:17f
[11657.708065] 949:22f
[11657.708069] 15:17f
[11657.708074] 951:22f
[11657.708079] 62:17f
[11657.708083] 959:17f
[11657.708088] 41:22f
[11657.708093] 924:17f
[11657.708097] 43:22f
[11657.708102] 920:17f
[11657.708107] 51:22f
[11657.708111] 927:17f
[11657.708116] 52:22f
[11657.708121] 928:17f
[11657.708125] 41:22f
[11657.708130] 926:17f
[11657.708135] 31:22f
[11657.708139] 967:22f
[11657.708144] 19:17f
[11657.708149] 965:17f
[11657.708153] 10:22f
[11657.708158] 961:17f
[11657.708163] 2:22f
[11657.708167] 963:22f
[11657.708172] 13:17f
[11657.708177] 972:22f
[11657.708181] 2:17f
[11657.708186] 947:17f
[11657.708191] 20:22f
[11657.708195] 948:17f
[11657.708200] 41:22f
[11657.708205] 919:17f
[11657.708209] 54:22f
[11657.708214] 948:17f
[11657.708219] 88:22f
[11657.708223] 871:17f
[11657.708228] 93:22f
[11657.708233] 889:17f
[11657.708237] 268:22f
[11657.708242] 703:17f
[11657.708247] 263:22f
[11657.708251] 688:17f
[11657.708256] 320:22f
[11657.708261] 683:17f
[11657.708266] 282:22f
[11657.708270] 699:17f
[11657.708275] 304:22f
[11657.708280] 665:17f
[11657.708285] 303:22f
[11657.708289] 752:17f
[11657.708294] 197:22f
[11657.708299] 768:17f
[11657.708303] 198:22f
[11657.708308] 754:17f
[11657.708313] 245:22f
[11657.708317] 723:17f
[11657.708322] 242:22f
[11657.708327] 774:17f
[11657.708332] 250:22f
[11657.708336] 715:17f
[11657.708341] 251:22f
[11657.708346] 797:17f
[11657.708350] 175:22f
[11657.708355] 791:17f
[11657.708360] 174:22f
[11657.708365] 785:17f
[11657.708369] 200:22f
[11657.708374] 799:17f
[11657.708379] 192:22f
[11657.708383] 776:17f
[11657.708388] 196:22f
[11657.708393] 790:17f
[11657.708397] 181:22f
[11657.708402] 800:17f
[11657.708407] 172:22f
[11657.708412] 792:17f
[11657.708416] 191:22f
[11657.708421] 789:17f
[11657.708426] 204:22f
[11657.708430] 757:17f
