[ 9952.761126] 974:27f
[ 9952.761131] 981:27f
[ 9952.761136] 969:27f
[ 9952.761140] 1001:27f
[ 9952.761145] 985:27f
[ 9952.761150] 959:27f
[ 9952.761154] 971:27f
[ 9952.761159] 101:18f
[ 9952.761164] 1316:27f
[ 9952.761169] 2079:17f
[ 9952.761173] 974:17f
[ 9952.761178] 947:17f
[ 9952.761183] 314:22f
[ 9952.761187] 651:17f
[ 9952.761192] 343:22f
[ 9952.761196] 624:17f
[ 9952.761201] 342:22f
[ 9952.761206] 629:17f
[ 9952.761211] 364:22f
[ 9952.761215] 601:17f
[ 9952.761220] 345:22f
[ 9952.761224] 621:17f
[ 9952.761229] 474:22f
[ 9952.761234] 495:17f
[ 9952.761238] 464:22f
[ 9952.761243] 504:17f
[ 9952.761248] 497:22f
[ 9952.761252] 466:17f
[ 9952.761257] 494:22f
[ 9952.761262] 452:17f
[ 9952.761267] 548:22f
[ 9952.761271] 431:17f
[ 9952.761276] 554:22f
[ 9952.761280] 405:17f
[ 9952.761285] 562:22f
[ 9952.761290] 388:17f
[ 9952.761294] 605:22f
[ 9952.761299] 360:17f
[ 9952.761304] 601:22f
[ 9952.761308] 345:17f
[ 9952.761313] 620:22f
[ 9952.761318] 374:17f
[ 9952.761322] 671:22f
[ 9952.761327] 308:17f
[ 9952.761332] 656:22f
[ 9952.761336] 344:17f
[ 9952.761341] 607:22f
[ 9952.761346] 363:17f
[ 9952.761350] 605:22f
[ 9952.761355] 339:17f
[ 9952.761360] 610:22f
[ 9952.761364] 385:17f
[ 9952.761369] 633:22f
[ 9952.761374] 330:17f
[ 9952.761378] 649:22f
[ 9952.761383] 302:17f
[ 9952.761388] 711:22f
[ 9952.761392] 253:17f
[ 9952.761397] 699:22f
[ 9952.761401] 251:17f
[ 9952.761406] 795:22f
[ 9952.761411] 211:17f
[ 9952.761416] 741:22f
[ 9952.761420] 223:17f
[ 9952.761425] 746:22f
[ 9952.761430] 224:17f
[ 9952.761434] 721:22f
[ 9952.761439] 293:17f
[ 9952.761444] 714:22f
[ 9952.761448] 254:17f
[ 9952.761453] 705:22f
[ 9952.761458] 307:17f
[ 9952.761462] 671:22f
[ 9952.761467] 290:17f
[ 9952.761472] 699:22f
[ 9952.761476] 325:17f
[ 9952.761481] 639:22f
[ 9952.761486] 327:17f
[ 9952.761490] 644:22f
[ 9952.761495] 301:17f
[ 9952.761499] 663:22f
[ 9952.761504] 331:17f
[ 9952.761509] 639:22f
[ 9952.761513] 306:17f
[ 9952.761518] 653:22f
[ 9952.761523] 314:17f
[ 9952.761527] 659:22f
[ 9952.761532] 316:17f
[ 9952.761537] 641:22f
[ 9952.761541] 328:17f
[ 9952.761546] 670:22f
[ 9952.761551] 311:17f
[ 9952.761555] 678:22f
[ 9952.761560] 275:17f
[ 9952.761565] 697:22f
[ 9952.761569] 269:17f
[ 9952.761574] 713:22f
[ 9952.761579] 236:17f
[ 9952.761583] 728:22f
[ 9952.761588] 261:17f
