[ 5805.408121] 1297:27f
[ 5805.408126] 1137:22f
[ 5805.408131] 394:17f
[ 5805.408136] 998:27f
[ 5805.408140] 970:27f
[ 5805.408145] 1020:27f
[ 5805.408150] 1146:22f
[ 5805.408155] 243:17f
[ 5805.408159] 1036:22f
[ 5805.408164] 1134:17f
[ 5805.408169] 994:27f
[ 5805.408173] 995:22f
[ 5805.408178] 40:17f
[ 5805.408183] 1001:27f
[ 5805.408188] 980:27f
[ 5805.408192] 1003:27f
[ 5805.408197] 1150:27f
[ 5805.408202] 1002:27f
[ 5805.408206] 1032:27f
[ 5805.408211] 1021:27f
[ 5805.408216] 1178:27f
[ 5805.408220] 972:27f
[ 5805.408225] 1029:17f
[ 5805.408230] 196:22f
[ 5805.408235] 1034:22f
[ 5805.408239] 88:17f
[ 5805.408244] 958:27f
[ 5805.408248] 1076:27f
[ 5805.408254] 1070:27f
[ 5805.408258] 1120:22f
[ 5805.408263] 186:17f
[ 5805.408268] 1389:22f
[ 5805.408272] 463:17f
[ 5805.408277] 970:27f
[ 5805.408282] 996:22f
[ 5805.408286] 630:17f
[ 5805.408291] 399:22f
[ 5805.408295] 946:27f
[ 5805.408300] 1021:27f
[ 5805.408305] 140:18f
[ 5805.408310] 858:27f
[ 5805.408314] 2441:27f
[ 5805.408319] 140:22f
[ 5805.408324] 660:17f
[ 5805.408329] 474:22f
[ 5805.408333] 1200:27f
[ 5805.408338] 939:22f
[ 5805.408342] 38:17f
[ 5805.408347] 986:17f
[ 5805.408352] 182:22f
[ 5805.408356] 950:17f
[ 5805.408361] 326:22f
[ 5805.408366] 684:17f
[ 5805.408370] 359:22f
[ 5805.408375] 805:17f
[ 5805.408380] 169:22f
[ 5805.408384] 914:17f
[ 5805.408389] 154:22f
[ 5805.408394] 921:17f
[ 5805.408398] 85:22f
[ 5805.408403] 1050:17f
[ 5805.408408] 65:22f
[ 5805.408412] 951:17f
[ 5805.408417] 221:22f
[ 5805.408421] 918:17f
[ 5805.408426] 366:22f
[ 5805.408431] 706:17f
[ 5805.408436] 494:22f
[ 5805.408440] 653:17f
[ 5805.408445] 383:22f
[ 5805.408450] 617:17f
[ 5805.408454] 568:22f
[ 5805.408459] 492:17f
