[10391.705265] 1604:27f
[10391.705270] 5:22f
[10391.705275] 322:17f
[10391.705280] 639:22f
[10391.705284] 339:17f
[10391.705289] 960:27f
[10391.705294] 967:27f
[10391.705298] 969:27f
[10391.705303] 953:22f
[10391.705308] 27:27f
[10391.705312] 971:27f
[10391.705317] 965:27f
[10391.705322] 1120:22f
[10391.705327] 236:17f
[10391.705331] 999:27f
[10391.705336] 958:27f
[10391.705340] 1007:27f
[10391.705345] 946:27f
[10391.705350] 996:27f
[10391.705355] 1034:17f
[10391.705359] 207:22f
[10391.705364] 754:17f
[10391.705369] 401:22f
[10391.705374] 1034:27f
[10391.705378] 958:22f
[10391.705383] 91:17f
[10391.705387] 523:18f
[10391.705392] 1338:27f
[10391.705397] 1208:22f
[10391.705402] 189:17f
[10391.705406] 1074:27f
[10391.705411] 1231:27f
[10391.705416] 1066:22f
[10391.705420] 348:17f
[10391.705425] 876:22f
[10391.705430] 92:17f
[10391.705435] 1052:22f
[10391.705439] 1040:17f
[10391.705444] 972:27f
[10391.705449] 1082:22f
[10391.705453] 82:17f
[10391.705458] 1020:27f
[10391.705463] 965:27f
[10391.705467] 1014:27f
[10391.705472] 972:27f
[10391.705477] 1023:17f
[10391.705482] 8:27f
[10391.705486] 1034:27f
[10391.705491] 1046:27f
[10391.705496] 965:27f
[10391.705500] 287:18f
[10391.705505] 1680:22f
[10391.705510] 945:17f
[10391.705514] 280:22f
[10391.705519] 992:27f
[10391.705524] 856:17f
[10391.705528] 30:22f
[10391.705533] 1041:27f
[10391.705538] 975:22f
[10391.705543] 10:17f
[10391.705547] 977:17f
[10391.705552] 9:22f
[10391.705557] 958:27f
[10391.705561] 1015:17f
[10391.705566] 59:22f
[10391.705570] 959:22f
[10391.705575] 185:17f
[10391.705580] 855:22f
[10391.705585] 328:17f
[10391.705589] 634:22f
[10391.705594] 424:17f
[10391.705599] 705:22f
[10391.705603] 387:17f
[10391.705608] 825:22f
[10391.705613] 156:17f
[10391.705617] 873:22f
[10391.705622] 263:17f
[10391.705627] 906:22f
[10391.705631] 121:17f
[10391.705636] 1016:22f
[10391.705641] 118:17f
[10391.705646] 1087:22f
[10391.705650] 50:17f
[10391.705655] 269:18f
[10391.705660] 1503:22f
[10391.705664] 59:17f
[10391.705669] 325:27f
[10391.705674] 964:27f
[10391.705678] 951:27f
[10391.705683] 18:17f
[10391.705688] 1035:27f
[10391.705692] 941:22f
[10391.705697] 163:17f
[10391.705702] 1063:27f
[10391.705706] 924:22f
[10391.705711] 14:17f
[10391.705716] 1047:27f
[10391.705720] 994:17f
[10391.705725] 4:22f
[10391.705730] 0:27f
[10391.705734] 966:17f
[10391.705739] 60:22f
[10391.705744] 906:17f
[10391.705748] 106:22f
[10391.705753] 904:17f
[10391.705758] 104:22f
[10391.705762] 917:17f
[10391.705767] 145:22f
[10391.705772] 845:17f
[10391.705776] 371:22f
[10391.705781] 763:17f
[10391.705786] 266:22f
[10391.705790] 836:17f
[10391.705795] 312:22f
[10391.705800] 839:17f
[10391.705804] 127:22f
[10391.705809] 954:27f
[10391.705814] 559:18f
[10391.705818] 1324:27f
[10391.705823] 214:22f
[10391.705828] 891:27f
[10391.705833] 1010:27f
[10391.705837] 989:27f
[10391.705842] 19:22f
[10391.705847] 965:27f
[10391.705851] 960:27f
[10391.705856] 22:22f
[10391.705861] 1084:22f
[10391.705865] 392:17f
[10391.705870] 756:22f
[10391.705875] 714:17f
[10391.705879] 437:22f
[10391.705884] 984:27f
[10391.705889] 1026:27f
[10391.705893] 54:22f
[10391.705898] 911:27f
[10391.705903] 956:22f
[10391.705907] 556:17f
[10391.705912] 490:22f
[10391.705917] 966:22f
[10391.705921] 93:17f
[10391.705926] 907:22f
[10391.705931] 994:27f
[10391.705935] 952:27f
[10391.705940] 960:22f
[10391.705945] 199:17f
[10391.705949] 159:18f
[10391.705954] 1565:22f
[10391.705959] 942:27f
[10391.705963] 923:17f
[10391.705968] 120:22f
[10391.705973] 899:17f
[10391.705978] 354:22f
[10391.705982] 612:17f
[10391.705987] 365:22f
[10391.705992] 743:17f
[10391.705996] 487:22f
[10391.706001] 680:17f
[10391.706006] 526:22f
[10391.706010] 617:17f
[10391.706015] 520:22f
[10391.706020] 442:17f
[10391.706024] 666:22f
[10391.706029] 528:17f
[10391.706034] 634:22f
[10391.706038] 568:17f
[10391.706043] 502:22f
[10391.706048] 656:17f
[10391.706052] 316:22f
[10391.706057] 662:17f
[10391.706062] 451:22f
[10391.706067] 607:17f
[10391.706071] 515:22f
[10391.706076] 620:17f
[10391.706081] 533:22f
[10391.706085] 434:17f
[10391.706090] 576:22f
[10391.706094] 501:17f
