[ 4490.078352] 800:17f
[ 4490.078356] 189:22f
[ 4490.078361] 754:17f
[ 4490.078365] 214:22f
[ 4490.078370] 775:17f
[ 4490.078375] 195:22f
[ 4490.078380] 748:17f
[ 4490.078384] 224:22f
[ 4490.078389] 722:17f
[ 4490.078394] 243:22f
[ 4490.078398] 703:17f
[ 4490.078403] 295:22f
[ 4490.078408] 646:17f
[ 4490.078412] 363:22f
[ 4490.078417] 631:17f
[ 4490.078422] 325:22f
[ 4490.078427] 681:17f
[ 4490.078431] 263:22f
[ 4490.078436] 683:17f
[ 4490.078441] 309:22f
[ 4490.078445] 640:17f
[ 4490.078450] 313:22f
[ 4490.078455] 675:17f
[ 4490.078459] 286:22f
[ 4490.078464] 664:17f
[ 4490.078469] 326:22f
[ 4490.078474] 619:17f
[ 4490.078478] 357:22f
[ 4490.078483] 616:17f
[ 4490.078487] 348:22f
[ 4490.078492] 591:17f
[ 4490.078497] 373:22f
[ 4490.078502] 593:17f
[ 4490.078506] 351:22f
[ 4490.078511] 609:17f
[ 4490.078515] 360:22f
[ 4490.078520] 584:17f
[ 4490.078525] 406:22f
[ 4490.078530] 563:17f
[ 4490.078534] 425:22f
[ 4490.078539] 564:17f
[ 4490.078544] 386:22f
[ 4490.078549] 604:17f
[ 4490.078553] 335:22f
[ 4490.078558] 614:17f
[ 4490.078563] 375:22f
[ 4490.078567] 662:17f
[ 4490.078572] 306:22f
[ 4490.078577] 637:17f
[ 4490.078581] 323:22f
[ 4490.078586] 640:17f
[ 4490.078591] 312:22f
[ 4490.078595] 634:17f
[ 4490.078600] 327:22f
[ 4490.078605] 669:17f
[ 4490.078609] 279:22f
[ 4490.078614] 702:17f
[ 4490.078619] 247:22f
[ 4490.078624] 742:17f
[ 4490.078628] 207:22f
[ 4490.078633] 731:17f
[ 4490.078638] 238:22f
[ 4490.078642] 751:17f
[ 4490.078647] 202:22f
[ 4490.078652] 736:17f
[ 4490.078656] 227:22f
[ 4490.078661] 748:17f
[ 4490.078666] 202:22f
[ 4490.078670] 763:17f
[ 4490.078675] 913:27f
[ 4490.078680] 973:27f
[ 4490.078685] 925:17f
[ 4490.078689] 946:17f
[ 4490.078694] 953:27f
[ 4490.078699] 930:17f
[ 4490.078703] 357:22f
[ 4490.078708] 589:17f
[ 4490.078713] 973:17f
[ 4490.078717] 947:17f
[ 4490.078722] 6:27f
[ 4490.078727] 946:17f
[ 4490.078731] 19:27f
[ 4490.078736] 1135:27f
[ 4490.078741] 938:27f
[ 4490.078745] 950:27f
[ 4490.078750] 957:27f
[ 4490.078755] 941:27f
[ 4490.078760] 935:22f
[ 4490.078764] 214:17f
[ 4490.078769] 989:27f
[ 4490.078774] 1015:27f
[ 4490.078778] 966:27f
[ 4490.078783] 969:27f
[ 4490.078788] 975:27f
[ 4490.078792] 944:27f
[ 4490.078797] 990:27f
[ 4490.078802] 5:22f
[ 4490.078806] 980:17f
[ 4490.078811] 914:27f
[ 4490.078816] 3051:27f
[ 4490.078820] 947:27f
[ 4490.078825] 989:27f
[ 4490.078830] 947:22f
[ 4490.078835] 883:17f
[ 4490.078839] 990:27f
[ 4490.078844] 994:27f
[ 4490.078849] 946:27f
[ 4490.078853] 940:27f
[ 4490.078858] 1309:27f
[ 4490.078863] 969:27f
[ 4490.078867] 939:27f
[ 4490.078872] 936:22f
[ 4490.078877] 110:17f
[ 4490.078881] 903:27f
[ 4490.078886] 966:27f
[ 4490.078891] 947:27f
[ 4490.078895] 949:27f
[ 4490.078900] 960:27f
[ 4490.078905] 938:27f
[ 4490.078910] 935:22f
[ 4490.078914] 732:17f
[ 4490.078919] 1009:27f
[ 4490.078924] 962:27f
[ 4490.078928] 967:27f
[ 4490.078933] 955:27f
[ 4490.078938] 944:27f
[ 4490.078942] 939:27f
[ 4490.078947] 949:27f
[ 4490.078952] 1003:17f
[ 4490.078957] 845:22f
[ 4490.078961] 146:27f
[ 4490.078966] 990:27f
[ 4490.078971] 1023:27f
[ 4490.078976] 957:27f
[ 4490.078980] 1109:27f
[ 4490.078985] 963:27f
[ 4490.078990] 956:27f
[ 4490.078994] 949:27f
[ 4490.078999] 1023:27f
[ 4490.079004] 969:27f
[ 4490.079008] 980:27f
[ 4490.079013] 983:27f
[ 4490.079018] 1136:27f
[ 4490.079023] 1101:27f
[ 4490.079027] 939:27f
[ 4490.079032] 943:27f
[ 4490.079037] 966:27f
[ 4490.079041] 939:27f
[ 4490.079046] 950:27f
[ 4490.079051] 963:27f
[ 4490.079055] 946:27f
[ 4490.079060] 991:27f
[ 4490.079065] 948:27f
[ 4490.079069] 939:27f
[ 4490.079074] 950:27f
[ 4490.079079] 950:27f
[ 4490.079084] 970:27f
[ 4490.079088] 960:27f
[ 4490.079093] 964:27f
[ 4490.079098] 969:27f
[ 4490.079103] 941:27f
[ 4490.079107] 939:27f
[ 4490.079112] 958:27f
[ 4490.079116] 959:27f
[ 4490.079121] 939:27f
[ 4490.079126] 940:27f
[ 4490.079131] 992:27f
[ 4490.079135] 1127:27f
[ 4490.079140] 955:27f
[ 4490.079145] 940:27f
[ 4490.079150] 990:27f
[ 4490.079154] 1126:27f
[ 4490.079159] 939:27f
[ 4490.079164] 997:27f
[ 4490.079168] 1363:27f
[ 4490.079173] 3640:17f
[ 4490.079178] 1170:22f
[ 4490.079183] 1806:18f
[ 4490.079187] 1343:22f
[ 4490.079192] 969:22f
[ 4490.079197] 954:22f
[ 4490.079201] 991:22f
[ 4490.079206] 982:22f
[ 4490.079211] 402:17f
[ 4490.079215] 542:22f
[ 4490.079220] 447:17f
[ 4490.079225] 543:22f
[ 4490.079230] 423:17f
[ 4490.079234] 566:22f
[ 4490.079239] 374:17f
[ 4490.079244] 564:22f
[ 4490.079248] 425:17f
[ 4490.079253] 539:22f
[ 4490.079258] 413:17f
[ 4490.079262] 531:22f
[ 4490.079267] 435:17f
[ 4490.079272] 541:22f
[ 4490.079277] 408:17f
[ 4490.079281] 533:22f
[ 4490.079286] 405:17f
[ 4490.079290] 564:22f
[ 4490.079295] 429:17f
[ 4490.079300] 547:22f
[ 4490.079305] 398:17f
[ 4490.079309] 544:22f
[ 4490.079314] 435:17f
[ 4490.079319] 554:22f
[ 4490.079323] 426:17f
[ 4490.079328] 567:22f
[ 4490.079333] 372:17f
[ 4490.079337] 573:22f
[ 4490.079342] 396:17f
