[17827.814975] 21:17f
[17827.814980] 950:22f
[17827.814985] 103:17f
[17827.814990] 863:22f
[17827.814994] 86:17f
[17827.814999] 889:22f
[17827.815004] 77:17f
[17827.815008] 884:22f
[17827.815013] 85:17f
[17827.815018] 884:22f
[17827.815022] 82:17f
[17827.815027] 864:22f
[17827.815032] 83:17f
[17827.815036] 936:22f
[17827.815041] 53:17f
[17827.815046] 902:22f
[17827.815050] 48:17f
[17827.815055] 936:22f
[17827.815060] 32:17f
[17827.815064] 972:17f
[17827.815069] 2:22f
[17827.815074] 964:17f
[17827.815078] 1:22f
[17827.815083] 961:17f
[17827.815088] 50:22f
[17827.815092] 929:17f
[17827.815097] 16:22f
[17827.815102] 969:17f
[17827.815106] 26:22f
[17827.815111] 956:17f
[17827.815116] 3:22f
[17827.815120] 971:17f
[17827.815125] 18:22f
[17827.815129] 942:17f
[17827.815134] 52:22f
[17827.815139] 927:17f
[17827.815143] 20:22f
[17827.815148] 979:17f
[17827.815153] 29:22f
[17827.815157] 934:17f
[17827.815162] 11:22f
[17827.815167] 1078:22f
[17827.815172] 26:17f
[17827.815176] 920:22f
[17827.815181] 44:17f
[17827.815186] 945:22f
[17827.815190] 46:17f
[17827.815195] 938:22f
[17827.815199] 124:17f
[17827.815204] 847:22f
[17827.815209] 118:17f
[17827.815214] 861:22f
[17827.815218] 109:17f
[17827.815223] 853:22f
[17827.815227] 113:17f
[17827.815232] 853:22f
[17827.815237] 139:17f
[17827.815242] 831:22f
[17827.815246] 161:17f
[17827.815251] 845:22f
[17827.815256] 124:17f
[17827.815260] 850:22f
[17827.815265] 121:17f
[17827.815270] 854:22f
[17827.815274] 127:17f
[17827.815279] 865:22f
[17827.815284] 106:17f
[17827.815288] 861:22f
[17827.815293] 123:17f
[17827.815298] 846:22f
[17827.815302] 122:17f
[17827.815307] 842:22f
[17827.815312] 134:17f
[17827.815316] 840:22f
[17827.815321] 139:17f
[17827.815326] 855:22f
[17827.815330] 112:17f
[17827.815335] 933:22f
[17827.815340] 57:17f
[17827.815344] 909:22f
[17827.815349] 56:17f
[17827.815354] 959:22f
[17827.815358] 17:17f
[17827.815363] 958:22f
[17827.815367] 3:17f
[17827.815372] 958:22f
[17827.815377] 8:17f
[17827.815382] 973:17f
[17827.815386] 2:22f
[17827.815391] 968:22f
[17827.815395] 13:17f
[17827.815400] 977:22f
[17827.815405] 3:17f
[17827.815409] 964:17f
[17827.815414] 16:22f
[17827.815419] 945:17f
[17827.815423] 23:22f
[17827.815428] 939:17f
[17827.815433] 30:22f
[17827.815437] 966:22f
[17827.815442] 15:17f
[17827.815447] 952:22f
[17827.815451] 13:17f
[17827.815456] 962:22f
[17827.815461] 103:17f
[17827.815465] 906:22f
[17827.815470] 30:17f
[17827.815475] 935:22f
[17827.815479] 35:17f
[17827.815484] 934:22f
[17827.815489] 30:17f
[17827.815493] 942:22f
[17827.815498] 47:17f
[17827.815502] 932:22f
[17827.815507] 33:17f
[17827.815512] 944:22f
[17827.815516] 28:17f
[17827.815521] 949:22f
[17827.815526] 14:17f
[17827.815531] 1105:17f
[17827.815535] 2:22f
[17827.815540] 965:17f
[17827.815545] 8:22f
[17827.815549] 968:17f
[17827.815554] 2:22f
[17827.815558] 970:22f
[17827.815563] 5:17f
[17827.815568] 966:17f
[17827.815572] 23:22f
[17827.815577] 949:17f
[17827.815582] 21:22f
[17827.815586] 978:22f
[17827.815591] 12:17f
[17827.815596] 956:22f
[17827.815600] 9:17f
[17827.815605] 971:17f
[17827.815610] 33:22f
[17827.815614] 961:17f
[17827.815619] 11:22f
[17827.815623] 962:17f
[17827.815628] 9:22f
[17827.815633] 965:22f
[17827.815637] 12:17f
[17827.815642] 968:17f
[17827.815647] 1:22f
[17827.815651] 953:22f
[17827.815656] 15:17f
[17827.815661] 974:17f
[17827.815665] 17:22f
[17827.815670] 947:17f
[17827.815675] 49:22f
[17827.815679] 921:17f
[17827.815684] 43:22f
[17827.815689] 921:17f
[17827.815693] 55:22f
[17827.815698] 936:17f
[17827.815703] 28:22f
[17827.815707] 927:17f
[17827.815712] 64:22f
[17827.815717] 949:17f
[17827.815721] 9:22f
[17827.815726] 958:17f
[17827.815731] 30:22f
[17827.815735] 955:17f
[17827.815740] 32:22f
[17827.815745] 965:17f
[17827.815749] 2:22f
[17827.815754] 970:17f
[17827.815758] 8:22f
[17827.815763] 955:22f
[17827.815768] 20:17f
[17827.815772] 947:22f
[17827.815777] 26:17f
[17827.815782] 964:22f
[17827.815786] 9:17f
[17827.815791] 954:22f
[17827.815796] 32:17f
[17827.815800] 968:17f
[17827.815805] 2:22f
[17827.815810] 952:22f
[17827.815814] 20:17f
[17827.815819] 946:22f
[17827.815824] 21:17f
[17827.815828] 976:17f
[17827.815833] 12:22f
[17827.815838] 970:17f
[17827.815842] 13:22f
[17827.815847] 953:17f
[17827.815852] 103:22f
[17827.815856] 882:17f
[17827.815861] 176:22f
[17827.815866] 803:17f
[17827.815870] 249:22f
[17827.815875] 715:17f
[17827.815880] 343:22f
[17827.815884] 632:17f
[17827.815889] 423:22f
[17827.815894] 529:17f
[17827.815898] 526:22f
[17827.815903] 441:17f
[17827.815908] 616:22f
[17827.815912] 376:17f
[17827.815917] 589:22f
[17827.815922] 396:17f
[17827.815926] 580:22f
[17827.815931] 388:17f
[17827.815936] 591:22f
[17827.815940] 448:17f
[17827.815945] 542:22f
[17827.815950] 464:17f
[17827.815955] 504:22f
[17827.815959] 513:17f
[17827.815964] 477:22f
[17827.815969] 537:17f
[17827.815973] 443:22f
[17827.815978] 567:17f
[17827.815983] 411:22f
[17827.815987] 562:17f
