[ 2912.291558] 1066:27f
[ 2912.291563] 1056:27f
[ 2912.291568] 1370:27f
[ 2912.291573] 995:27f
[ 2912.291577] 1075:27f
[ 2912.291582] 617:18f
[ 2912.291587] 537:27f
[ 2912.291592] 966:27f
[ 2912.291596] 1051:22f
[ 2912.291601] 973:27f
[ 2912.291605] 20:22f
[ 2912.291610] 980:22f
[ 2912.291615] 19:27f
[ 2912.291619] 993:27f
[ 2912.291624] 17:22f
[ 2912.291628] 1029:22f
[ 2912.291633] 401:17f
[ 2912.291638] 569:22f
[ 2912.291643] 426:17f
[ 2912.291647] 581:22f
[ 2912.291652] 433:17f
[ 2912.291656] 584:22f
[ 2912.291661] 433:17f
[ 2912.291666] 571:22f
[ 2912.291671] 416:17f
[ 2912.291675] 590:22f
[ 2912.291680] 416:17f
[ 2912.291684] 598:22f
[ 2912.291689] 659:17f
[ 2912.291694] 333:22f
[ 2912.291698] 634:17f
[ 2912.291703] 363:22f
[ 2912.291708] 659:17f
[ 2912.291712] 316:22f
[ 2912.291717] 674:17f
[ 2912.291722] 367:22f
[ 2912.291726] 631:17f
[ 2912.291731] 345:22f
[ 2912.291736] 642:17f
[ 2912.291740] 393:22f
[ 2912.291745] 880:17f
[ 2912.291750] 106:22f
[ 2912.291754] 378:18f
[ 2912.291759] 485:17f
[ 2912.291764] 189:22f
[ 2912.291768] 823:17f
[ 2912.291773] 131:22f
[ 2912.291778] 847:17f
[ 2912.291782] 177:22f
[ 2912.291787] 843:17f
[ 2912.291791] 154:22f
[ 2912.291796] 852:17f
[ 2912.291801] 173:22f
[ 2912.291805] 907:17f
[ 2912.291810] 96:22f
[ 2912.291815] 873:17f
[ 2912.291819] 142:22f
[ 2912.291824] 858:17f
[ 2912.291829] 136:22f
[ 2912.291833] 875:17f
[ 2912.291838] 114:22f
[ 2912.291842] 887:17f
[ 2912.291847] 130:22f
[ 2912.291852] 989:17f
[ 2912.291856] 103:22f
[ 2912.291861] 867:17f
[ 2912.291866] 114:22f
